"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"서울특별시 양천구 신정6동(1147067000)","24,164","8,218","          2.94","11,751","12,413","          0.95"
"서울특별시 양천구 신정7동(1147068000)","28,501","11,426","          2.49","13,743","14,758","          0.93"
"서울특별시 강서구 (1150000000)","570,011","273,776","          2.08","273,644","296,367","          0.92"
"서울특별시 강서구 염창동(1150051000)","41,556","16,530","          2.51","20,032","21,524","          0.93"
"서울특별시 강서구 등촌제1동(1150052000)","24,769","14,004","          1.77","11,419","13,350","          0.86"
"서울특별시 강서구 등촌제2동(1150053000)","19,788","8,603","          2.30","9,621","10,167","          0.95"
"서울특별시 강서구 등촌제3동(1150053500)","29,978","15,139","          1.98","14,201","15,777","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,726","28,229","          1.83","25,123","26,603","          0.94"
"서울특별시 강서구 화곡제2동(1150055000)","17,584","8,231","          2.14","8,504","9,080","          0.94"
"서울특별시 강서구 화곡제3동(1150056000)","21,478","9,759","          2.20","10,228","11,250","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","20,292","9,770","          2.08","9,944","10,348","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","33,862","17,474","          1.94","16,336","17,526","          0.93"
"서울특별시 강서구 화곡제6동(1150059100)","25,037","13,108","          1.91","12,020","13,017","          0.92"
"서울특별시 강서구 화곡제8동(1150059300)","24,165","11,911","          2.03","11,674","12,491","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","34,189","20,809","          1.64","15,587","18,602","          0.84"
"서울특별시 강서구 가양제2동(1150060400)","13,866","8,130","          1.71","6,545","7,321","          0.89"
"서울특별시 강서구 가양제3동(1150060500)","14,631","7,791","          1.88","6,788","7,843","          0.87"
"서울특별시 강서구 발산제1동(1150061100)","36,028","13,453","          2.68","16,973","19,055","          0.89"
"서울특별시 강서구 우장산동(1150061500)","42,398","16,103","          2.63","20,247","22,151","          0.91"
